feature,mean_abs_shap,mean_rank,rank_std
h3_cell,0.4379248877458073,1.0,0.0
rolling_hotspot_intensity,0.24141423632129277,2.0,0.0
vehicle_type,0.13669696845945503,3.0,0.0
violations_last_15m,0.09867215786019129,4.0,0.0
hour_cos,0.08747302165449859,5.0,0.0
primary_offence_code,0.0811273674813471,6.0,0.0
violations_last_60m,0.05936201394823887,7.0,0.0
primary_violation_type,0.04738034862656783,8.0,0.0
center_code,0.044376463880484975,9.0,0.0
violation_density,0.04160880907595931,10.0,0.0
hotspot_frequency,0.03998157958715468,11.0,0.0
junction_name,0.038706865306927865,12.0,0.0
violations_last_30m,0.03716818833837077,13.0,0.0
is_peak_hour,0.03709255173207824,14.0,0.0
weekday,0.03464251808236571,15.0,0.0
hour_sin,0.033715889325412654,16.0,0.0
police_station,0.03241720769683124,17.0,0.0
junction_historical_risk,0.030939157648748883,18.0,0.0
hour,0.030786909891180235,19.0,0.0
center_code_historical_risk,0.021564714422683998,20.0,0.0
same_hour_previous_day,0.018624651177600295,21.2,0.4472135954999579
num_offences,0.018495609590520844,21.8,0.4472135954999579
offence_historical_risk,0.014195322831806098,23.0,0.0
vehicle_type_historical_risk,0.012809740642341106,24.0,0.0
police_station_density,0.009316093907370756,25.0,0.0
is_duplicate_vehicle_event,0.008684023202801712,26.0,0.0
is_weekend,0.006148003449671686,27.0,0.0
junction_density,0.005007423996037064,28.0,0.0
violation_frequency,0.004760142460648107,29.0,0.0
is_outlier_coordinate,0.0001625169309283978,30.0,0.0
