objective,split,model,pr_auc,precision,recall,f1,brier_score,best_threshold,mae,rmse,r2,n_samples,positive_rate
hotspot_classification,val,catboost,0.8767,0.7316,0.962,0.8311,0.1766,0.3,,,,44767,0.6995
hotspot_classification,val,lightgbm,0.8649,0.7351,0.9505,0.829,0.1832,0.3,,,,44767,0.6995
hotspot_classification,val,xgboost,0.8632,0.7245,0.9567,0.8246,0.1918,0.2,,,,44767,0.6995
hotspot_classification,test,catboost,0.8732,0.7341,0.9651,0.8339,0.1766,0.3,,,,44767,0.7027
count_regression,val,catboost,,,,,,,5.9166,10.5753,0.2714,44767,
count_regression,val,lightgbm,,,,,,,6.0188,10.9204,0.223,44767,
count_regression,val,xgboost,,,,,,,6.2411,11.1802,0.1856,44767,
experiment_A_with_outliers,val,catboost,0.8767,0.7316,0.962,0.8311,0.1766,0.3,,,,44767,0.6995
experiment_A_without_outliers,val,catboost,0.8743,0.7314,0.96,0.8303,0.1777,0.3,,,,44742,0.6995
experiment_B_with_duplicates,val,catboost,0.8767,0.7316,0.962,0.8311,0.1766,0.3,,,,44767,0.6995
experiment_B_without_duplicates,val,catboost,0.8772,0.7262,0.9767,0.833,0.1759,0.25,,,,43339,0.7034
experiment_C_h3_cell,val,catboost,0.8767,0.7316,0.962,0.8311,0.1766,0.3,,,,44767,0.6995
experiment_C_geohash,val,catboost,0.8759,0.7313,0.962,0.8309,0.1766,0.3,,,,44767,0.6995
experiment_D_raw_counts_only,val,catboost,0.8701,0.7139,0.9788,0.8256,0.1837,0.2,,,,44767,0.6995
experiment_D_full_rolling,val,catboost,0.8767,0.7316,0.962,0.8311,0.1766,0.3,,,,44767,0.6995
calibration_baseline,test,catboost,0.8732,,,,0.1766,,,,,44767,
calibration_platt,test,catboost,0.8732,,,,0.1755,,,,,44767,
calibration_isotonic,test,catboost,0.8692,,,,0.1747,,,,,44767,
spatial_holdout_seen,val,catboost,0.8833,0.7399,0.9626,0.8367,0.1728,0.3,,,,37032,0.7101
spatial_holdout_unseen,val,catboost,0.8137,0.6906,0.964,0.8047,0.2073,0.3,,,,7289,0.6591
horizon_15m,val,catboost,0.7834,0.6397,0.9504,0.7647,0.2101,0.25,,,,44767,0.6054
horizon_30m,val,catboost,0.8337,0.6893,0.9518,0.7995,0.1949,0.3,,,,44767,0.6533
horizon_60m,val,catboost,0.8767,0.7316,0.962,0.8311,0.1766,0.3,,,,44767,0.6995
horizon_90m,val,catboost,0.8929,0.7526,0.9659,0.846,0.1667,0.3,,,,44767,0.7236
